2017,Christopher Froome (Gbr),Warren Barguil (Fra),Michael Matthews (Aus)
2016,Christopher Froome (Gbr),Rafal Majka (Pol),Peter Sagan (Svk)
2015,Christopher Froome (Gbr),Christopher Froome (Gbr),Peter Sagan (Svk)
2014,Vincenzo Nibali (Ita),Rafal Majka (Pol),Peter Sagan (Svk)
2013,Christopher Froome (Gbr),Nairo Quintana (Col),Peter Sagan (Svk)
2012,Bradley Wiggins (Gbr),Thomas Voeckler (Fra),Peter Sagan (Svk)
2011,Cadel Evans (Aus),Samuel Sanchez (Esp),Mark Cavendish (Gbr)
2010,Alberto Contador (Esp),Anthony Charteau (Fra),Alessandro Petacchi (Ita)
2009,Alberto Contador (Esp),Franco Pellizotti (Ita),Thor Hushovd (Nor)
2008,Carlos Sastre (Esp),Bernhard Kohl (Aut),Oscar Freire (Esp)
2007,Alberto Contador (Esp),Juan Mauricio Soler Hernandez (Col),Tom Boonen (Bel)
2006,Oscar Pereiro Sio (Esp),Michael Rasmussen (Dnk),Robbie McEwen (Aus)
2005,Lance Armstrong (Usa),Michael Rasmussen (Dnk),Thor Hushovd (Nor)
2004,Lance Armstrong (Usa),Richard Virenque (Fra),Robbie McEwen (Aus)
2003,Lance Armstrong (Usa),Richard Virenque (Fra),Baden Coole (Aus)
2002,Lance Armstrong (Usa),Laurent Jalabert (Fra),Robbie McEwen (Aus)
2001,Lance Armstrong (Usa),Laurent Jalabert (Fra),Erik Zabel (Deu)
2000,Lance Armstrong (Usa),Santiago Botero (Col),Erik Zabel (Deu)
1999,Lance Armstrong (Usa),Richard Virenque (Fra),Erik Zabel (Deu)
1998,Marco Pantani (Ita),Christophe Rinero (Fra),Erik Zabel (Deu)
1997,Jan Ullrich (Deu),Richard Virenque (Fra),Erik Zabel (Deu)
1996,Bjarne Riis (Dnk),Richard Virenque (Fra),Erik Zabel (Deu)
1995,Miguel Indurain (Esp),Richard Virenque (Fra),Laurent Jalabert (Fra)
1994,Miguel Indurain (Esp),Richard Virenque (Fra),Djamolidine Abdoujaparov (Urss)
1993,Miguel Indurain (Esp),Tony Rominger (Ch),Djamolidine Abdoujaparov (Urss)
1992,Miguel Indurain (Esp),Claudio Chiappucci (Ita),Laurent Jalabert (Fra)
